91,104,10,20
0,94,0,1
0,93,0,2
0,93,0,3
0,93,0,4
0,94,0,5
0,93,0,6
0,94,0,7
0,93,0,8
0,93,0,9
0,93,0,10
0,93,0,11
0,93,0,12
0,93,0,13
0,93,0,14
0,93,0,15
0,93,0,16
0,93,0,17
0,93,0,18
0,93,0,19
2,93,0,20
2,93,0,21
2,93,0,22
2,93,0,23
0,90,1,0
0,76,2,0
0,65,3,0
0,65,4,0
0,66,5,0
0,67,6,0
0,69,7,0
0,70,8,0
0,71,9,0
1,71,10,0
1,71,11,0
1,72,12,0
1,72,13,0
1,71,14,0
1,72,15,0
1,73,16,0
1,73,17,0
1,74,18,0
1,74,19,0
1,89,20,0
0,92,0,1
0,92,0,2
0,92,0,3
0,92,0,4
0,92,0,5
0,92,0,6
0,92,0,7
0,92,0,8
0,92,0,9
0,92,0,10
0,92,0,11
0,92,0,12
0,92,0,13
3,92,0,0
3,92,0,0
3,92,0,0
3,92,0,0
3,92,0,0
3,92,0,0
3,92,0,0
3,92,0,0
3,92,0,0
3,92,0,0
3,92,0,0
3,92,0,0
